Full,HIP,TYC1,TYC2,TYC3,Plx,e_,PlxsH,e_,q_,PlxsT,e_,q_,logTeff,e_,logLum,e_,Note,n_RVel,n_CCDM,MultFlag
,,,,,mas,mas,mas,mas,,mas,mas,,[K],[K],[solLum],(...),,,,
128,20901,677,1116,1,20.33,0.84,21.37,0.35,2.29,21.49,0.43,0.69,3.8977,0.0032,1.213,0.014,1,0,0,0
129,20916,1265,791,1,20.58,1.74,18.75,0.57,2.93,21.44,0.35,1.14,3.7925,0.0029,0.738,0.026,1,1,1,1
130,20935,1269,294,1,23.25,1.04,21.85,0.39,2.18,21.21,0.41,0.06,3.7953,0.0027,0.431,0.015,0,1,0,3
131,20948,1269,557,1,21.59,1.09,21.83,0.41,0.13,21.72,0.37,0.01,3.8165,0.0029,0.465,0.016,0,0,1,0
132,20949,1837,270,1,17.08,1.18,17.28,0.39,2.95,17.52,0.37,0.4,3.7345,0.0025,-0.178,0.02,0,0,0,0
133,20951,1269,697,1,24.19,1.76,22.3,0.56,1.21,21.93,0.39,0.23,3.7205,0.0026,-0.287,0.022,0,0,1,0
134,20978,1265,883,1,24.71,1.27,22.05,0.42,4.76,21.73,0.4,2.22,3.7137,0.0034,-0.321,0.017,0,0,0,0
135,20995,1265,1175,1,22.93,1.25,22.31,0.42,1.72,23.04,0.52,0.82,3.8539,0.0039,0.959,0.016,1,1,1,1
136,21008,1273,583,1,19.94,0.93,19.1,0.38,14.49,19.64,0.36,0.56,3.8112,0.0042,0.508,0.017,1,1,0,0
137,21029,1265,1169,1,22.54,0.77,21.86,0.33,2.42,21.69,0.35,1.22,3.911,0.0031,1.291,0.013,0,0,1,0
138,21036,681,1153,1,21.84,0.89,22.42,0.36,0.53,22.64,0.38,0.04,3.8843,0.0033,1.021,0.014,1,0,1,0
139,21039,1265,1174,1,22.55,1.09,21.72,0.39,1.17,21.84,0.34,0.71,3.8858,0.0033,1.02,0.016,1,1,1,0
140,21053,1265,763,1,24.28,0.79,20.93,0.35,24.82,21.67,0.38,0,3.8232,0.0029,0.658,0.015,1,0,1,0
141,21066,673,700,1,22.96,0.99,21.89,0.39,1.66,21.4,0.53,1.31,3.8106,0.0037,0.414,0.015,0,0,0,0
142,21092,,,,19.64,9.61,33.98,2.97,3.45,,,,,,,,0,0,3,1
143,21099,1273,428,1,21.81,1.25,21.74,0.47,1.05,22.16,0.38,0.2,3.7416,0.0035,-0.145,0.019,0,0,0,0
144,21112,681,829,1,19.46,1.02,19.62,0.43,2.29,18.82,0.45,0.32,3.7914,0.005,0.224,0.019,0,0,0,0
145,21123,1269,1027,1,23.41,1.65,22.15,0.49,1.38,22.8,0.47,1.13,3.691,0.0059,-0.469,0.024,0,1,0,3
146,21137,1265,1173,1,22.25,1.14,22.86,0.35,12.43,22.78,0.36,4.27,3.8498,0.0041,0.767,0.013,1,1,0,0
147,21138,1265,924,1,15.11,4.75,21.12,1.17,2.27,,,,3.6347,0.0034,-0.869,0.05,1,0,0,0
148,21152,90,33,1,23.13,0.92,23.87,0.41,2.77,23.79,0.48,2.69,3.8256,0.0042,0.594,0.015,0,0,0,0
149,21179,677,290,1,17.55,2.97,21.89,0.99,2.53,21.85,0.68,1.57,3.6553,0.0021,-0.948,0.04,0,1,0,0
150,21256,1278,1315,1,24.98,1.95,23.21,0.62,0.87,23.43,0.44,0.43,3.6459,0.0022,-0.849,0.024,0,0,0,0
151,21261,1274,1346,1,21.06,2.21,21.61,0.68,0.3,21.23,0.47,0.11,3.6547,0.0021,-0.831,0.028,0,0,0,0
152,21267,681,651,1,22.8,0.98,21.87,0.43,1.02,21.92,0.4,0.02,3.8229,0.0035,0.572,0.017,0,0,0,0
153,21273,681,1151,1,21.39,1.24,22.41,0.51,2.66,22.27,0.35,2.85,3.8824,0.003,1.317,0.02,1,1,0,3
154,21280,1266,398,1,24.02,1.68,22.93,0.66,24.24,22.04,0.38,4.96,3.7173,0.0101,-0.119,0.029,1,1,2,1
155,21317,1266,278,1,23.19,1.3,22.01,0.46,3.42,21.18,0.42,1.81,3.7667,0.0034,0.095,0.018,0,0,0,0
156,21459,1830,2128,1,22.6,0.76,23.61,0.36,2.97,23.45,0.34,1.3,3.8373,0.3266,0.743,0.374,1,0,0,0
157,21474,1266,1214,1,22.99,0.95,20.59,0.42,8.36,21.17,0.43,8.13,3.8191,0.0052,0.618,0.018,0,1,0,0
158,21482,1838,564,1,56.02,1.21,51.94,0.4,14.79,51.2,0.33,0.35,3.6709,0.0023,-0.586,0.009,0,1,0,0
159,21543,1266,112,1,23.54,1.29,19.72,1.26,13.22,22.38,0.36,0,3.7758,0.0031,0.332,0.056,1,1,0,2
160,21588,1266,1417,1,21.96,1.04,25.54,0.46,34.53,19.96,0.36,0.25,3.8575,0.0037,0.76,0.016,1,0,1,2
161,21589,690,1547,1,21.79,0.79,22.3,0.4,1.2,22.44,0.44,0.06,3.9225,0.0034,1.484,0.016,1,1,1,0
162,21637,1830,1020,1,22.6,0.91,23.3,0.38,1.28,23.43,0.35,0.06,3.7814,0.0026,0.191,0.014,0,0,0,0
163,21654,694,225,1,20.81,1.3,22.8,0.44,2.59,22.4,0.46,0.55,3.7606,0.0025,0.046,0.017,0,1,0,0
164,21670,682,1726,1,19.44,0.86,20.46,0.42,8.75,20.71,0.49,2.71,3.8852,0.0032,1.107,0.018,1,0,1,0
165,21683,1266,1418,1,20.51,0.82,18.33,0.42,11.92,18.7,0.38,8.74,3.9133,0.0029,1.486,0.02,1,0,1,0
166,21723,690,945,1,23.95,1.63,22.95,0.68,0.44,22.98,0.56,0.04,3.6761,0.0022,-0.668,0.026,0,0,0,0
167,21741,1830,1358,1,15.96,1.36,16.58,0.44,0.73,17.13,0.39,2.45,3.7245,0.0025,-0.214,0.023,0,0,0,0
168,21762,1267,210,1,23.65,2.53,21.15,1.03,1.97,21.49,0.49,0.04,3.6722,0.0022,-0.358,0.043,0,1,2,1
169,21788,1830,545,1,19.48,1.26,16.55,0.46,63.4,15.59,0.37,93.2,3.7525,0.0025,-0.02,0.024,0,0,0,0
170,22044,687,1627,1,20.73,0.88,22.73,0.46,6.72,23.03,0.45,0.38,3.8888,0.0033,1.014,0.018,0,0,1,0
171,22157,691,1509,1,12.24,0.86,15.35,0.44,23.34,15.59,0.46,2.83,3.9013,0.0031,1.367,0.025,1,1,1,0
172,22177,88,1355,1,22.45,2.32,22.01,0.91,0.07,21.85,0.68,0.01,3.6355,0.0024,-0.867,0.037,0,0,0,0
173,22203,1267,1102,1,19.42,1.09,21.28,0.51,4.05,20.74,0.49,1.08,3.7582,0.0025,-0.028,0.021,0,1,0,0
174,22221,683,688,1,26.26,1.04,22.75,0.55,51.38,25.22,0.66,0.01,3.7858,0.0025,0.316,0.021,1,1,0,2
175,22224,1271,1301,1,24.11,1.72,22.88,0.71,1.48,22.66,0.49,0.1,3.6946,0.0026,-0.532,0.028,0,1,0,0
176,22253,1831,1894,1,15.74,1.98,18.3,0.56,1.97,18.96,0.54,0.42,3.6695,0.0022,-0.712,0.027,0,0,0,0
177,22265,1271,1229,1,19.81,1.43,20.01,0.63,10.16,20.42,0.46,1.77,3.7447,0.0025,-0.057,0.027,0,1,0,0
178,22271,1835,809,1,22.07,2.03,27.33,0.58,10.63,27.78,0.57,11.22,3.659,0.0021,-0.996,0.02,0,0,0,0
179,22350,1292,770,1,19.3,1.67,20.6,1.55,1.02,21.99,0.4,2.35,3.7181,0.0026,-0.259,0.066,1,1,0,2
180,22380,1284,1397,1,21.38,1.46,20.91,0.59,7.61,22.05,0.48,2.28,3.7201,0.0026,-0.242,0.025,1,0,0,0
181,22394,1835,658,1,18.96,1.62,20.37,0.5,1.84,20.82,0.45,0.8,3.6796,0.0022,-0.362,0.022,0,1,0,0
182,22422,1280,485,1,19.68,0.96,20.8,0.45,6.63,21.2,0.45,3.56,3.7808,0.0026,0.206,0.019,0,0,0,0
183,22496,1284,332,1,22.96,1.17,24.38,0.46,20.57,24.13,0.4,3.11,3.7849,0.0026,0.312,0.016,1,1,0,2
184,22505,1280,662,1,23.64,0.99,21.86,0.47,13.07,21.54,0.53,5.78,3.7403,0.0034,0.195,0.019,1,1,0,6
185,22524,1280,1207,1,19.3,0.95,20.32,0.44,5.18,20.65,0.5,1.08,3.7925,0.0029,0.388,0.019,0,1,0,0
186,22550,688,43,1,20.15,1.14,21.32,0.53,3.99,21.21,0.58,0.03,3.7906,0.0034,0.548,0.022,1,1,1,1
187,22565,1288,1706,1,17.27,0.82,19.29,0.41,7.81,19.48,0.35,2.93,3.897,0.0031,1.277,0.018,1,0,1,0
188,22566,1280,1110,1,17.14,1,16.44,0.45,6.09,16.38,0.52,3.66,3.7951,0.0027,0.326,0.024,0,0,0,0
189,22607,696,1789,1,23.91,1.04,25.81,0.47,28.09,22.11,0.54,5.74,3.802,0.0027,0.569,0.016,1,1,1,1
190,22654,1288,32,1,18.93,2.02,19.18,0.71,2.48,19.91,0.61,5.16,3.6766,0.0033,-0.613,0.033,0,0,0,0
191,22850,1288,1591,1,14.67,0.95,15.9,0.41,3.36,16.15,0.44,0.67,3.8748,0.0043,0.936,0.022,0,0,0,0
192,23044,85,1179,1,12.62,1.89,14.91,0.79,55.75,14.56,0.5,120.35,3.7707,0.0025,0.194,0.046,0,0,1,1
193,23069,696,390,1,19.66,1.62,18.07,0.61,1.14,18.29,0.5,0,3.741,0.0025,-0.104,0.029,0,0,0,0
194,23205,2388,60,1,10.73,1.66,15.13,0.61,54.39,15.11,0.53,59.54,3.7269,0.1269,0.387,0.18,1,0,1,1
195,23214,1281,792,1,23.09,0.83,23.31,0.41,2.17,23.38,0.44,0.23,3.8168,0.0044,0.467,0.015,0,0,1,0
