RAh RAm RAs DEd DEm DEs DelV P    Bmag  Vmag  Rmag  Imag  # Name1 Name2 
5 12 13.10 -69 11 52.3 0.07   2.30 15.88 15.58 15.24 14.99 # Ogle 250300 
5 12 25.89 -69 13 56.7 0.09  10.35 15.14 14.62 14.08 13.75 # Ogle 245236 
5 12 29.69 -69  7 15.8 0.13   1.18 16.56 16.48  0.00 16.40 # Ogle 52800  
5 12 34.51 -69 12 34.0 0.11   4.00 16.48 15.86 15.49 15.08 # Ogle 45301  
5 12 45.31 -69 16  2.9 0.17   3.03 16.82 16.22 15.87 15.46 # Ogle 38558  
5 13 27.85 -69 11 51.5 0.20   2.32 16.21 15.65 15.46 15.05 # Ogle 140763 
5 14 37.59 -70 46  9.8 0.20   3.80 15.88 15.42 15.05 14.83 # Evs HV2404  
5 14 41.61 -70 42 32.3 0.07   6.92 15.88 15.16 14.70 14.37 # Evs HV2405  
5 14 49.34 -69 12 40.8 0.09   1.97 16.37 15.95 15.57 15.35 # Ogle 342099 
5 15 11.28 -69 15  7.4 0.11   3.18 16.76 16.14 15.74 15.39 # Ogle 52641  
#5 15 12.46 -69 13  7.7 0.13   0.00 15.55 15.10 14.86 14.65 # KMS new5    
5 15 16.59 -69  8  8.6 0.20   3.45 16.80 15.95 15.52 15.23 # Ogle 64736  
5 15 17.04 -70 41 34.4 0.17   3.52 16.29 15.74 15.31 15.07 # Evs HV2417  
5 15 18.58 -69 13 31.7 0.11   7.98 15.65 14.96 14.48 14.11 # Ogle 52582  
5 15 28.92 -69 13 59.7 0.20   4.44 18.14 17.93 17.57 17.62 # Ogle 52604  
5 15 36.96 -69  8 15.9 0.20   3.54 16.63 15.99 15.62 15.28 # Ogle 64734  
5 15 38.16 -69 15 19.6 0.17   7.29 15.30 14.76 14.41 14.07 # Ogle 145094 
5 15 45.76 -69 14 30.0 0.17   3.45 16.69 16.09 15.71 15.33 # Ogle 145110 
5 16  3.62 -69 14 52.1 0.20   6.78 16.42 15.64 15.19 14.71 # Ogle 145100 
5 16 11.57 -69 15 25.6 0.20   2.82 16.89 16.29 15.94 15.55 # Ogle 145136 
5 17 17.96 -69 32 59.5 0.20   4.79 16.17 15.47 14.93 14.72 # Ogle 298699 
5 17 32.01 -69 25  9.2 0.20   5.38 17.81 16.77 16.08 15.71 # Ogle 55965  
5 17 40.02 -69 41 53.6 0.17   2.68 16.19 15.69 15.18 15.12 # Ogle 14108  
5 17 41.02 -69 41 25.5 0.17   3.34 16.79 16.16 15.60 15.35 # Ogle 21803  
5 17 42.32 -69 30 32.5 0.17   2.42 16.06 15.66 15.27 15.00 # Ogle 47332  
5 17 49.88 -69 28 29.4 0.20   1.31 17.65 17.08 16.44 16.34 # Ogle 47466  
5 17 54.85 -69 34 54.9 0.17   4.11 16.12 15.61 15.30 14.93 # Ogle 30199  
5 17 56.33 -69 34 52.8 0.17   3.29 16.08 15.63 15.24 15.03 # Ogle 30200  
5 17 56.39 -69 38 53.0 0.17   4.81 16.34 15.66 15.16 14.81 # Ogle 21841  
5 18  1.01 -69 37 12.2 0.17   3.40 18.56 17.31 16.76 16.32 # Ogle 30165  
5 18  3.59 -69 25 35.9 0.20   6.73 15.98 15.29 14.75 14.35 # Ogle 55964  
5 18  6.42 -69 39  0.1 0.13   3.79 16.49 15.96 15.47 15.26 # Ogle 21940  
5 18 13.76 -68 19 30.7 0.09  10.92 15.02 14.24 13.96 13.50 # Evs HV2432  
5 18 27.97 -69 27 45.9 0.13   4.38 16.54 15.85 15.37 15.01 # Ogle 165501 
5 18 28.85 -69 34  1.1 0.09   3.48 16.84 16.31 15.92 15.54 # Ogle 157381 
5 18 33.37 -69 32 15.2 0.11   2.34 16.26 15.82 15.37 15.11 # Ogle 157350 
5 18 35.29 -69 36  3.1 0.07   1.42 16.33 16.02 15.69 15.46 # Ogle 149541 
5 18 38.76 -69 35 16.4 0.07   3.27 16.66 16.07 15.70 15.36 # Ogle 149485 
5 18 40.79 -69 25 16.1 0.13   3.77 17.33 16.54 15.96 15.56 # Ogle 174573 
5 18 41.75 -69 38 22.7 0.07   6.46 16.09 15.36 14.87 14.48 # Ogle 142153 
5 18 50.94 -69 39 12.5 0.07   4.21 16.02 15.52 15.08 14.81 # Ogle 262813 
5 18 51.03 -69 26 41.3 0.11   1.53 17.05 16.46 16.18 15.66 # Eros 4030   
5 18 55.85 -69 26 27.5 0.13   1.98 17.32 16.71 16.36 15.98 # Ogle 295263 
5 18 56.26 -69 34  2.4 0.04   3.72 16.69 16.05 15.59 15.24 # Ogle 278113 
5 19  2.45 -69 40  9.7 0.09   5.51 15.59 15.10 14.83 14.45 # Ogle 262801 
